url,type,name,address,rating,number_reviews,last_reviewed,lat,lng
us/villa-at-the-reserve-at-lake-travis,Apartment,Villa at the Reserve at Lake Travis,"Edgewater Beach, TX 78669, USA",-1.0,-1,,30.409003,-97.992448
us/hotel-research-boulevard-austin,Hotel,Extended Stay America - Austin - Northwest - Research Park,"12424 Research Boulevard, Austin, TX 78759, USA",5.6,198,27 June 2019,30.42788411,-97.75820464
us/echo-amp-conference-center,Hotel,Echo Hotel & Conference Center,"1903 South Closner Boulevard, Edinburg, TX 78539, USA",8.3,166,28 July 2019,26.2843696,-98.1671246
us/americas-best-value-inn-laredo,Motel,Americas Best Value Inn Laredo,"5240 San Bernardo Avenue, Laredo, TX 78041, USA",7.2,380,29 July 2019,27.54737948,-99.5046705
us/residence-inn-by-marriott-austin-university-area,Hotel,Residence Inn by Marriott Austin - University Area,"1200 Barbara Jordan Blvd,Building 4, Austin, TX 78723, USA",9.1,23,1 May 2019,30.30629936,-97.7075851
us/holiday-inn-express-suites-missouri-city-west,Hotel,Holiday Inn Express & Suites Houston SW - Missouri City,"5007 Highway 6, Missouri City, TX 77459, USA",9.4,39,24 June 2019,29.5764756,-95.5767606
us/home-sweet-home-wimberley,Homestay,Cypress Fairway Village 2,"11 Cypress Fairway Village, Wimberley, TX 78676, USA",8.6,19,23 April 2019,30.033496,-98.128562
us/doubletree-dallas-market-center,Hotel,DoubleTree by Hilton Dallas Market Center,"2015 Market Center Boulevard, Market Center, Dallas, TX 75207, USA",8.2,321,30 July 2019,32.7980117,-96.82525367
us/baymont-inn-amp-suites-college-station,Hotel,Baymont by Wyndham College Station,"2611 Harvey Road, College Station, TX 77845, USA",8.8,242,28 July 2019,30.631869,-96.3005869
us/two-bedroom-east-4th-apartment-3,Apartment,Dormigo Eastside Apartment 8,"1700 East 4th Street, Austin, TX 78702, USA",-1.0,-1,16 March 2019,30.260826,-97.724731
us/holiday-inn-beaumont-east-medical-ctr-area,Hotel,Holiday Inn - Beaumont East-Medical Ctr Area,"2095 North 11th St, Beaumont, 77703, USA",8.4,45,26 July 2019,30.097746,-94.130095
us/stylish-2br-in-south-congress-by-wanderjaunt,Apartment,Stylish 2BR in South Congress by WanderJaunt,"Austin, 78704, USA",-1.0,-1,,30.2268,-97.7615
us/candlewood-suites-san-antonio,Hotel,Candlewood Suites San Antonio Northwest Medical Center,"9350 Interstate Highway 10 West, San Antonio, TX 78230, USA",8.1,131,26 July 2019,29.52598783,-98.55905771
us/el-paso-1330-lomaland-drive,Hotel,Motel 6 El Paso East,"1330 Lomaland Drive, El Paso, TX 79935, USA",7.8,149,29 July 2019,31.745787,-106.329465
us/holiday-inn-express-downtown-market-area,Hotel,Holiday Inn Express & Suites San Antonio - Downtown Market Area,"102 El Paso Street, San Antonio, TX 78204, USA",8.2,453,30 July 2019,29.41790439,-98.50058287
us/hampton-inn-suites-fort-worth-west-i-30,Hotel,Hampton Inn & Suites Fort Worth-West-I-30,"2700 Green Oaks Road, Fort Worth, TX 76116, USA",8.8,160,26 July 2019,32.73464995,-97.4348554
us/houston-st-guest-house-near-downtown-47-military-base,Apartment,Houston St Guest house near Downtown/Military base,"2825 East Houston Street, San Antonio, 78202, USA",9.0,8,10 April 2019,29.425289,-98.446396
us/candlewood-suites-austin-south,Hotel,Candlewood Suites Austin - South,"4320 Interstate 35 Service South, Austin, TX 78745, USA",9.2,71,29 July 2019,30.21260723,-97.75523186
us/brandnewcorporate-1br-dwntown-uptown-parking,Apartment,★★★★★BrandNewCorporate 1Br Dwntown/Uptown+Parking,"2112 Boll Street, Uptown Dallas, Dallas, TX 75204, USA",-1.0,-1,,32.79293031,-96.79813012
us/once-upon-a-tide-home,Holiday home,Once Upon a Tide Home,"Galveston, 77554, USA",-1.0,-1,,29.219718,-94.909044
us/azalea-plantation-b-amp-b,Bed and breakfast,Azalea Plantation B & B,"1400 Robinwood Drive, Fort Worth, TX 76111, USA",9.9,11,26 June 2019,32.781918,-97.29452
us/grand-prairie,Motel,Super 8 by Wyndham Grand Prairie Southwest,"4020 Great Southwest Parkway, Grand Prairie, TX 75052, USA",7.7,207,19 July 2019,32.674344,-97.044614
us/days-inn-suites-lubbock-west,Hotel,Days Inn & Suites by Wyndham Lubbock Medical Center,"4923 Marsha Sharp Fwy, Lubbock, TX 79407, USA",9.4,506,29 July 2019,33.567014,-101.916522
us/dory-15144,Apartment,Dory 15144,"Corpus Christi, 78418, USA",-1.0,-1,,27.605482,-97.224325
us/affordable-housing-care,Holiday home,Affordable Housing Care,"3614 Woodlace Drive, Humble, TX 77396, USA",-1.0,-1,,29.966165,-95.217472
us/seascape-1209-condo,Apartment,Seascape 1209 Condo,"Galveston, 77554, USA",-1.0,-1,,29.24222,-94.871558
us/courtyard-waco,Hotel,Courtyard Waco,"101 Washington Avenue, Waco, TX 76701, USA",8.7,119,28 July 2019,31.56060988,-97.13008136
us/bay-house-galveston,Holiday home,Bay House,"Galveston, 77554, USA",-1.0,-1,,29.1098,-95.0978
us/sleep-inn-suites-speedway,Hotel,Quality Inn & Suites,"13741 Raceway Dr, Roanoke, 76262, USA",-1.0,-1,,33.022558,-97.274759
us/holiday-inn-frisco-plano-stone-briar,Hotel,Holiday Inn Express Frisco,"3400 Parkwood Boulevard, Frisco, TX 75034, USA",8.3,142,10 July 2019,33.10827113,-96.81668468
us/alessandra,Hotel,Hotel Alessandra,"1070 Dallas Street, Downtown Houston, Houston, TX 77002, USA",9.3,291,29 July 2019,29.7542359,-95.365365
us/courtyard-san-antonio-airport-north-star-mall,Hotel,Courtyard by Marriott San Antonio Airport/North Star Mall,"80 Norteast Loop 410, San Antonio, TX 78216, USA",8.6,43,5 July 2019,29.51842229,-98.48797515
us/super-8-baytown-74163,Hotel,Super 8 by Wyndham Baytown,"1931 Interstate 10 East Freeway, Baytown, TX 77521, USA",7.2,39,8 July 2019,29.79941767,-95.02928674
